age,annual_income,debt_to_income_ratio,credit_history_length,num_credit_cards,total_debt,employment_years,education_score,home_ownership_score,loan_amount,loan_purpose_score,payment_history,credit_utilization,num_defaults,num_late_payments,income_stability,savings_balance,monthly_expenses,dependents,marital_status_score
28,65000,0.25,8,2,16250,5,3,2,15000,3,0.85,0.28,0,1,3,12000,4500,1,2
35,85000,0.30,15,3,25500,12,4,3,30000,4,0.92,0.35,0,0,4,25000,5200,2,2
42,95000,0.28,18,4,26600,15,4,3,25000,3,0.95,0.32,0,0,4,35000,5800,1,2
31,55000,0.35,10,2,19250,7,2,2,20000,2,0.78,0.42,1,2,2,8000,3800,0,1
26,45000,0.40,5,1,18000,3,3,1,12000,2,0.65,0.50,2,4,1,5000,3200,0,1
48,120000,0.22,25,5,26400,20,4,3,40000,4,0.98,0.25,0,0,4,50000,7000,2,3
29,72000,0.32,11,3,23040,8,3,2,22000,3,0.88,0.38,0,1,3,15000,4800,1,2
38,88000,0.27,14,3,23760,11,4,3,28000,3,0.90,0.30,0,0,3,28000,5500,1,2
24,38000,0.45,3,1,17100,1,2,1,8000,1,0.50,0.60,3,6,1,2000,2500,0,1
33,76000,0.29,12,3,22040,9,3,2,24000,3,0.87,0.33,0,1,3,18000,5000,1,2
44,105000,0.24,20,4,25200,18,4,3,35000,4,0.94,0.28,0,0,4,40000,6500,2,2
27,52000,0.38,7,2,19760,4,3,1,18000,2,0.72,0.45,1,3,2,7000,3500,0,1
36,78000,0.31,13,3,24180,10,3,2,26000,3,0.89,0.36,0,1,3,20000,5100,1,2
41,92000,0.26,17,4,23920,14,4,3,32000,4,0.93,0.29,0,0,4,32000,5900,1,2
30,68000,0.33,9,2,22440,6,3,2,20000,3,0.84,0.40,1,2,3,12000,4700,1,2
25,48000,0.42,4,1,20160,2,2,1,10000,1,0.58,0.55,2,5,1,3000,2800,0,1
39,82000,0.28,16,3,22960,13,4,3,30000,3,0.91,0.31,0,0,3,26000,5400,1,2
50,110000,0.23,22,5,25300,19,4,3,42000,4,0.96,0.26,0,0,4,45000,6800,2,3
32,74000,0.30,10,3,22200,8,3,2,23000,3,0.86,0.34,0,1,3,17000,4900,1,2
28,60000,0.36,8,2,21600,5,3,2,19000,2,0.80,0.43,1,2,2,9000,4200,0,1
